Occupation,Ever been married or in union,Has an account in a bank or other financial institution,Year of first cohabitation,Religion,Current age,Age of wife/partner,Drinks wine,Region,"Have a job, but currently absent",Sex of household head,Beating justified: wife burns food,Beating justified: wife goes out without telling husband,Age in 5-year groups,Occupation (grouped),On average respondent uses daily: snuff by nose,Employment all year/seasonal,Daughters at home,Drinks other alcohol,Cohabitation duration (grouped),Years lived in place of residence,Drinks rum,Beating justified: wife argues with husband,Drinks beer,Educational level,On average respondent smokes daily: manufactured cigarettes,In the past smoked tobacco every day,Drinks Tafia/Clairin,Drinks alcohol,Country code and phase,Currently residing with wife/partner,Beating justified: wife refuses to have sex with husband,Since how many years smokes respondent,Wife justified refusing sex: husband has other women,Age of household head,Currently working,Beating justified: wife neglects the children,Drinks,index,Beating,target
Agriculteur,No,No,,No religion,18,,No,Nippes,No,Male,No,No,15-19,Agriculture - self employed,Product not used,Occasional,0,No,Never married,Always,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,No,46,No,No,No Drinks,8651,No Beating,0
Agriculteur,,No,1999.0,Catholic,43,43.0,No,Nippes,Yes,Male,No,No,40-44,Agriculture - self employed,Product not used,Seasonal,2,No,15-19,Always,No,No,No,Secondary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,43,Yes,No,DrinksTafia/Clairin,8652,No Beating,0
Agriculteur,,No,1993.0,Vaudousant,53,50.0,No,Nippes,,Female,No,No,50-54,Agriculture - self employed,12,All year,1,No,20-24,Always,No,No,No,No education,Product not used,,Yes,Every now and then,HT7,Living with him,No,,Yes,50,Yes,No,DrinksTafia/Clairin,8653,No Beating,0
Agriculteur,,No,2010.0,Catholic,31,25.0,No,Nippes,,Male,No,Yes,30-34,Agriculture - self employed,Product not used,All year,0,No,5-9,Always,No,No,No,Primary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,No,31,Yes,No,DrinksTafia/Clairin,8654,wife goes out without telling husband,1
Agriculteur,No,No,,No religion,42,,No,Nippes,,Male,No,No,40-44,Agriculture - self employed,Product not used,All year,0,No,Never married,Always,No,No,No,No education,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,31,Yes,No,DrinksTafia/Clairin,8655,No Beating,0
"Contremaitre, agent de maitrise",,No,2012.0,Catholic,28,25.0,No,Nippes,,Male,No,Yes,25-29,Professional/technical/managerial,Product not used,All year,0,No,0-4,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Every now and then,HT7,Living with him,No,,No,28,Yes,No,Drinks rum,8656,wife goes out without telling husband,1
Ouvrier qualifiï¿½ de type artisanal,Formerly lived with a woman,No,2013.0,No religion,29,,No,Nippes,,Male,No,No,25-29,Skilled manual,Product not used,All year,0,No,0-4,Always,No,No,No,Primary,Product not used,,Yes,Every now and then,HT7,,No,,No,29,Yes,No,DrinksTafia/Clairin,8657,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,No,2006.0,Catholic,31,29.0,No,Nippes,,Female,No,No,30-34,Skilled manual,Product not used,Occasional,0,No,10-14,16,Yes,No,Yes,Primary,Product not used,,Yes,Every day,HT7,Living with him,No,,No,29,Yes,No,Drinks rum,8658,No Beating,0
Agriculteur,No,No,,No religion,19,,No,Nippes,,Female,No,No,15-19,Agriculture - self employed,Product not used,Seasonal,0,No,Never married,5,No,No,No,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,64,Yes,No,DrinksTafia/Clairin,8659,No Beating,0
Commercant et assimilï¿½,,No,2010.0,No religion,24,24.0,No,Nippes,,Female,No,No,20-24,Sales,Product not used,Seasonal,1,No,5-9,Always,Yes,No,Yes,Primary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,24,Yes,No,Drinks rum,8660,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,No,2005.0,Catholic,36,33.0,No,Nippes,,Female,No,No,35-39,Skilled manual,Product not used,All year,0,No,10-14,Always,No,Yes,No,Primary,Product not used,,Yes,Every day,HT7,Living with him,No,,No,33,Yes,Yes,DrinksTafia/Clairin,8661,wife argues with husband,1
Agriculteur,,No,2000.0,Protestant/Methodist/Adventist/Jehova Witness,36,35.0,No,Nippes,,Male,No,No,35-39,Agriculture - self employed,Product not used,Occasional,2,No,15-19,Always,Yes,No,Yes,Primary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,36,Yes,No,Drinks rum,8662,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,17,,No,Nippes,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,0,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,38,No,No,Drinks rum,8663,No Beating,0
Agriculteur,Formerly married,No,1980.0,Catholic,61,,No,Sud,,Male,No,No,60-64,Agriculture - self employed,Product not used,Seasonal,0,No,30+,Always,Yes,No,Yes,No education,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,61,Yes,No,Drinks rum,8664,No Beating,0
Employï¿½ du commerce,,Yes,2005.0,Protestant/Methodist/Adventist/Jehova Witness,33,29.0,Yes,Sud,,Male,No,No,30-34,Sales,Product not used,All year,0,No,10-14,2,Yes,No,Yes,Secondary,Product not used,,Yes,Every day,HT7,Staying elsewhere,No,,Yes,61,Yes,No,Drinks wine,8665,No Beating,0
Agriculteur,,No,1978.0,Protestant/Methodist/Adventist/Jehova Witness,63,60.0,No,Sud,,Male,No,No,60-64,Agriculture - self employed,Product not used,All year,0,No,30+,Always,No,No,No,No education,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,63,Yes,No,No Drinks,8666,No Beating,0
Agriculteur,No,No,,Protestant/Methodist/Adventist/Jehova Witness,20,,No,Sud,,Male,No,No,20-24,Agriculture - self employed,Product not used,Seasonal,0,No,Never married,Always,Yes,No,No,Primary,Product not used,,Yes,Hardly ever,HT7,,No,,No,63,Yes,No,Drinks rum,8667,No Beating,0
Agriculteur,Formerly married,No,1980.0,Protestant/Methodist/Adventist/Jehova Witness,56,,No,Sud,,Male,No,No,55-59,Agriculture - self employed,Product not used,All year,1,No,30+,Always,No,No,No,No education,5,,Yes,Hardly ever,HT7,,No,,Yes,56,Yes,No,DrinksTafia/Clairin,8668,No Beating,0
Agriculteur,,No,2014.0,Protestant/Methodist/Adventist/Jehova Witness,51,36.0,No,Sud,,Male,No,No,50-54,Agriculture - self employed,Product not used,All year,0,No,0-4,1,No,No,No,No education,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,56,Yes,No,No Drinks,8669,No Beating,0
Agriculteur,No,No,,Protestant/Methodist/Adventist/Jehova Witness,20,,No,Sud,,Male,No,No,20-24,Agriculture - self employed,Product not used,All year,0,No,Never married,Always,No,No,No,No education,Product not used,,No,"No, never",HT7,,No,,Yes,56,Yes,No,No Drinks,8670,No Beating,0
Agriculteur,Formerly married,No,1981.0,Catholic,61,,No,Sud,,Male,No,No,60-64,Agriculture - self employed,Product not used,All year,0,No,30+,Always,No,No,No,No education,Product not used,No,Yes,Every now and then,HT7,,No,,Yes,61,Yes,No,DrinksTafia/Clairin,8671,No Beating,0
Agriculteur,,No,1998.0,Catholic,57,33.0,No,Sud,,Male,No,Yes,55-59,Agriculture - self employed,10,Seasonal,3,No,15-19,Always,Yes,No,Yes,No education,Product not used,,Yes,Every now and then,HT7,Living with him,Yes,,Yes,57,Yes,Yes,Drinks rum,8672,wife goes out without telling husband,1
Agriculteur,No,No,,Protestant/Methodist/Adventist/Jehova Witness,24,,Yes,Sud,,Male,No,No,20-24,Agriculture - self employed,Product not used,Seasonal,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,74,Yes,No,Drinks wine,8673,No Beating,0
Artisan,,Yes,1982.0,Catholic,57,47.0,No,Sud,,Male,No,No,55-59,Unskilled manual,Product not used,All year,1,No,30+,Always,No,No,No,Secondary,3,,No,"No, never",HT7,Living with him,No,,Yes,57,Yes,No,No Drinks,8674,No Beating,0
Agriculteur,,No,2007.0,Protestant/Methodist/Adventist/Jehova Witness,39,28.0,Yes,Sud,,Female,No,No,35-39,Agriculture - self employed,Product not used,All year,0,No,5-9,Always,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,64,Yes,No,Drinks wine,8675,No Beating,0
Agriculteur,,No,2007.0,No religion,37,34.0,No,Sud,,Female,No,No,35-39,Agriculture - self employed,Product not used,All year,0,No,10-14,Always,No,No,No,No education,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,34,Yes,No,No Drinks,8676,No Beating,0
Agriculteur,No,No,,Protestant/Methodist/Adventist/Jehova Witness,25,,No,Sud,,Male,No,No,25-29,Agriculture - self employed,Product not used,All year,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,65,Yes,No,Drinks beer,8677,No Beating,0
Agriculteur,,No,1974.0,Catholic,62,59.0,No,Sud,,Male,No,No,60-64,Agriculture - self employed,Product not used,All year,0,No,30+,Always,No,No,No,No education,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,62,Yes,No,DrinksTafia/Clairin,8678,No Beating,0
Agriculteur,No,No,,Catholic,19,,No,Sud,,Male,No,No,15-19,Agriculture - self employed,Product not used,Seasonal,0,No,Never married,Always,No,No,No,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,62,Yes,No,DrinksTafia/Clairin,8679,No Beating,0
Agriculteur,No,No,,Catholic,23,,No,Sud,,Female,No,No,20-24,Agriculture - self employed,Product not used,Seasonal,0,No,Never married,Always,No,No,No,Primary,Product not used,,No,"No, never",HT7,,No,,Yes,44,Yes,No,No Drinks,8680,No Beating,0
Agriculteur,No,No,,Protestant/Methodist/Adventist/Jehova Witness,15,,No,Sud,,Female,Yes,Yes,15-19,Agriculture - self employed,Product not used,Occasional,0,No,Never married,Always,No,No,No,Primary,Product not used,,No,"No, never",HT7,,No,,Yes,44,Yes,No,No Drinks,8681,wife goes out without telling husband,1
Ouvrier qualifiï¿½ de type artisanal,,No,2002.0,Catholic,47,41.0,No,Sud,,Female,No,No,45-49,Skilled manual,Product not used,All year,1,No,10-14,Visitor,No,No,Yes,No education,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,41,Yes,No,Drinks beer,8682,No Beating,0
Agriculteur,,No,1998.0,Catholic,50,48.0,No,Sud,,Male,No,No,50-54,Agriculture - self employed,Product not used,All year,1,No,15-19,Always,No,No,No,No education,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,50,Yes,No,No Drinks,8683,No Beating,0
Agriculteur,No,No,,Catholic,18,,No,Sud,,Male,No,No,15-19,Agriculture - self employed,Product not used,Occasional,0,No,Never married,Always,Yes,No,Yes,Primary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,50,Yes,No,Drinks rum,8684,No Beating,0
Agriculteur,No,No,,Catholic,15,,No,Sud,No,Male,No,No,15-19,Agriculture - self employed,Product not used,Occasional,0,No,Never married,Always,No,No,No,Primary,Product not used,,No,"No, never",HT7,,No,,Don't know,50,No,No,No Drinks,8685,No Beating,0
Agriculteur,No,No,,Protestant/Methodist/Adventist/Jehova Witness,20,,No,Sud,,Female,No,No,20-24,Agriculture - self employed,Product not used,All year,0,No,Never married,Always,No,No,No,Primary,Product not used,,No,"No, never",HT7,,No,,Yes,55,Yes,No,No Drinks,8686,No Beating,0
Agriculteur,,No,1975.0,No religion,64,18.0,No,Sud,,Female,No,No,60-64,Agriculture - self employed,Product not used,All year,0,No,30+,Always,No,No,No,No education,Product not used,,Yes,Every now and then,HT7,Living with him,No,,Yes,55,Yes,No,DrinksTafia/Clairin,8687,No Beating,0
Personnel des services directs au particulier,,No,2000.0,Catholic,36,61.0,No,Nippes,,Male,No,No,35-39,Household and domestic,Product not used,All year,0,No,15-19,Always,No,No,No,No education,10,,Yes,Every day,HT7,Living with him,No,,Yes,36,Yes,No,DrinksTafia/Clairin,8688,No Beating,0
Agriculteur,,No,1995.0,Catholic,45,44.0,No,Nippes,,Female,No,No,45-49,Agriculture - self employed,Product not used,All year,0,No,20-24,Always,No,No,No,Secondary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,44,Yes,No,DrinksTafia/Clairin,8689,No Beating,0
Agriculteur,No,No,,Protestant/Methodist/Adventist/Jehova Witness,18,,Yes,Nippes,,Female,No,No,15-19,Agriculture - self employed,Product not used,Seasonal,0,No,Never married,Always,No,No,No,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,54,Yes,No,Drinks wine,8690,No Beating,0
Agriculteur,,No,1990.0,Protestant/Methodist/Adventist/Jehova Witness,55,45.0,No,Nippes,,Male,No,No,55-59,Agriculture - self employed,Product not used,All year,0,No,25-29,Always,Yes,No,No,Secondary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,55,Yes,No,Drinks rum,8691,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,25,,No,Nippes,No,Male,No,No,25-29,Not working,Product not used,,0,No,Never married,Always,No,No,No,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,55,No,No,DrinksTafia/Clairin,8692,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,18,,No,Nippes,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,Yes,55,No,No,No Drinks,8693,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,17,,Yes,Nippes,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,34,No,No,Drinks wine,8694,No Beating,0
Agriculteur,,No,2006.0,Catholic,43,34.0,No,Nippes,,Female,No,No,40-44,Agriculture - self employed,Product not used,All year,0,No,10-14,Always,Yes,No,No,No education,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,34,Yes,No,Drinks rum,8695,No Beating,0
Agriculteur,,No,1992.0,Protestant/Methodist/Adventist/Jehova Witness,51,29.0,No,Nippes,Yes,Female,No,No,50-54,Agriculture - self employed,Product not used,All year,0,No,20-24,Always,Yes,No,No,Primary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,29,Yes,No,Drinks rum,8696,No Beating,0
Agriculteur,,No,2010.0,Protestant/Methodist/Adventist/Jehova Witness,47,40.0,No,Nippes,,Female,No,No,45-49,Agriculture - self employed,Product not used,All year,3,No,5-9,Always,No,No,No,Secondary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,40,Yes,No,DrinksTafia/Clairin,8697,No Beating,0
Artisan,,No,1992.0,Catholic,45,40.0,No,Nippes,,Female,No,No,45-49,Unskilled manual,Product not used,Occasional,0,No,20-24,Always,No,No,No,No education,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,40,Yes,No,DrinksTafia/Clairin,8698,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,No,No,,Catholic,19,,Yes,Nippes,,Female,No,No,15-19,Skilled manual,Product not used,All year,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,40,Yes,No,Drinks wine,8699,No Beating,0
"Contremaitre, agent de maitrise",No,No,,Catholic,18,,Yes,Nippes,,Female,No,No,15-19,Professional/technical/managerial,Product not used,All year,0,No,Never married,Always,Yes,No,No,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,37,Yes,No,Drinks wine,8700,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,20,,No,Nippes,No,Female,No,No,20-24,Not working,Product not used,,0,Yes,Never married,Always,No,No,Yes,Secondary,Product not used,,Yes,Every day,HT7,,No,,Yes,70,No,No,Drinks other alcohol,8701,No Beating,0
Not working and didn't work in last 12 months,No,No,,No religion,40,,No,Nippes,No,Female,No,No,40-44,Not working,Product not used,,0,No,Never married,Always,No,No,No,No education,Product not used,,No,"No, never",HT7,,No,,Yes,70,No,No,No Drinks,8702,No Beating,0
Agriculteur,No,No,,Protestant/Methodist/Adventist/Jehova Witness,42,,No,Nippes,,Male,No,No,40-44,Agriculture - self employed,Product not used,All year,0,No,Never married,Always,No,No,No,Primary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,42,Yes,No,DrinksTafia/Clairin,8703,No Beating,0
Agriculteur,,No,1980.0,Protestant/Methodist/Adventist/Jehova Witness,60,70.0,No,Nippes,,Female,No,No,60-64,Agriculture - self employed,Product not used,All year,0,No,30+,Always,No,No,No,Primary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,70,Yes,No,DrinksTafia/Clairin,8704,No Beating,0
Agriculteur,,No,1995.0,Catholic,43,41.0,No,Sud,,Male,No,No,40-44,Agriculture - self employed,Product not used,Seasonal,0,No,20-24,Always,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,Staying elsewhere,No,,Yes,74,Yes,No,Drinks beer,8705,No Beating,0
Agriculteur,,No,1993.0,Protestant/Methodist/Adventist/Jehova Witness,47,47.0,No,Sud,,Male,No,No,45-49,Agriculture - self employed,Product not used,Seasonal,4,No,20-24,Always,No,No,No,Primary,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,47,Yes,No,No Drinks,8706,No Beating,0
Agriculteur,No,No,,Protestant/Methodist/Adventist/Jehova Witness,22,,No,Sud,,Male,No,No,20-24,Agriculture - self employed,Product not used,Seasonal,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,47,Yes,No,Drinks beer,8707,No Beating,0
Agriculteur,No,No,,Protestant/Methodist/Adventist/Jehova Witness,21,,No,Sud,,Male,No,No,20-24,Agriculture - self employed,Product not used,Occasional,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,No,Every now and then,HT7,,No,,Yes,47,Yes,No,Drinks beer,8708,No Beating,0
Agriculteur,No,No,,Protestant/Methodist/Adventist/Jehova Witness,18,,No,Sud,No,Male,No,No,15-19,Agriculture - self employed,Product not used,Seasonal,0,No,Never married,Always,No,No,No,Secondary,Product not used,,Yes,Every day,HT7,,No,,Yes,47,No,No,DrinksTafia/Clairin,8709,No Beating,0
Not working and didn't work in last 12 months,No,No,,No religion,16,,No,Sud,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,Yes,Primary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,47,No,No,DrinksTafia/Clairin,8710,No Beating,0
Agriculteur,,No,2005.0,No religion,47,38.0,No,Sud,,Male,No,No,45-49,Agriculture - self employed,Product not used,All year,0,No,10-14,20,No,No,No,No education,Product not used,,Yes,Every now and then,HT7,Staying elsewhere,No,,Yes,47,Yes,No,DrinksTafia/Clairin,8711,No Beating,0
Agriculteur,,No,2000.0,Protestant/Methodist/Adventist/Jehova Witness,42,50.0,No,Sud,No,Male,No,No,40-44,Agriculture - self employed,Product not used,Seasonal,1,No,15-19,Always,Yes,No,No,Secondary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,42,No,No,Drinks rum,8712,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,16,,No,Sud,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,No,Primary,Product not used,,No,"No, never",HT7,,No,,Yes,42,No,No,No Drinks,8713,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,No,2011.0,Catholic,33,39.0,No,Sud,,Female,No,No,30-34,Skilled manual,Product not used,Occasional,0,No,5-9,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Every now and then,HT7,Staying elsewhere,No,,Yes,53,Yes,No,Drinks rum,8714,No Beating,0
Not working and didn't work in last 12 months,No,Yes,,Catholic,38,,No,Sud,No,Female,No,No,35-39,Not working,Product not used,,0,No,Never married,2,No,No,No,Higher,Product not used,,No,"No, never",HT7,,No,,Yes,53,No,No,No Drinks,8715,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,Yes,2012.0,Catholic,34,30.0,No,Sud,,Male,No,No,30-34,Skilled manual,Product not used,All year,0,No,0-4,Always,No,No,Yes,Secondary,Product not used,,No,Every now and then,HT7,Living with him,No,,Yes,34,Yes,No,Drinks beer,8716,No Beating,0
Insituteur et assimilï¿½s,,Yes,2013.0,Protestant/Methodist/Adventist/Jehova Witness,31,30.0,No,Sud,,Female,No,No,30-34,Professional/technical/managerial,Product not used,All year,0,No,0-4,Always,No,No,Yes,Higher,Product not used,,No,Hardly ever,HT7,Staying elsewhere,No,,No,61,Yes,No,Drinks beer,8717,No Beating,0
Agriculteur,,No,1980.0,Catholic,60,55.0,No,Sud,,Male,No,No,60-64,Agriculture - self employed,Product not used,Seasonal,0,No,30+,Always,Yes,No,Yes,Primary,3,,Yes,Every now and then,HT7,Living with him,No,,Yes,60,Yes,No,Drinks rum,8718,No Beating,0
Agriculteur,,No,2009.0,Catholic,30,26.0,No,Sud,,Male,No,No,30-34,Agriculture - self employed,Product not used,Seasonal,1,No,5-9,Always,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,60,Yes,No,Drinks beer,8719,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,No,2016.0,Catholic,29,20.0,Yes,Sud,,Male,No,No,25-29,Skilled manual,Product not used,All year,0,No,0-4,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,Staying elsewhere,No,,No,60,Yes,No,Drinks wine,8720,No Beating,0
Commercant et assimilï¿½,No,No,,Catholic,25,,No,Sud,,Male,No,No,25-29,Sales,Product not used,All year,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,No,Every now and then,HT7,,No,,Yes,60,Yes,No,Drinks beer,8721,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,23,,No,Sud,No,Female,No,No,20-24,Not working,Product not used,,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,59,No,No,Drinks beer,8722,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,18,,No,Sud,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,No,59,No,No,Drinks beer,8723,No Beating,0
Insituteur et assimilï¿½s,No,No,,Protestant/Methodist/Adventist/Jehova Witness,29,,No,Sud,,Female,No,No,25-29,Professional/technical/managerial,Product not used,All year,0,No,Never married,Always,No,No,Yes,Higher,Product not used,,No,Hardly ever,HT7,,No,,Yes,59,Yes,No,Drinks beer,8724,No Beating,0
Agriculteur,No,No,,No religion,18,,No,Sud,,Female,No,No,15-19,Agriculture - self employed,Product not used,Seasonal,0,No,Never married,Always,No,No,No,Primary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,65,Yes,No,DrinksTafia/Clairin,8725,No Beating,0
Agriculteur,,No,2010.0,Catholic,37,24.0,No,Sud,,Male,No,No,35-39,Agriculture - self employed,Product not used,All year,2,No,5-9,Always,No,No,No,No education,Product not used,,Yes,Every now and then,HT7,Living with him,No,,Yes,37,Yes,No,DrinksTafia/Clairin,8726,No Beating,0
Agriculteur,,No,1985.0,Catholic,53,30.0,No,Sud,,Male,No,No,50-54,Agriculture - self employed,Product not used,All year,0,No,30+,Always,No,No,No,Secondary,Product not used,,Yes,Hardly ever,HT7,Staying elsewhere,No,,Yes,53,Yes,No,DrinksTafia/Clairin,8727,No Beating,0
Agriculteur,,No,1996.0,Protestant/Methodist/Adventist/Jehova Witness,36,35.0,No,Sud,,Male,No,No,35-39,Agriculture - self employed,Product not used,Seasonal,0,No,20-24,Always,No,No,No,Secondary,Product not used,,Yes,Hardly ever,HT7,Staying elsewhere,No,,No,53,Yes,No,DrinksTafia/Clairin,8728,No Beating,0
Insituteur et assimilï¿½s,No,No,,Catholic,26,,Yes,Sud,,Female,No,No,25-29,Professional/technical/managerial,Product not used,All year,0,No,Never married,Always,Yes,No,Yes,Higher,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,58,Yes,No,Drinks wine,8729,No Beating,0
Agriculteur,No,No,,Catholic,22,,No,Sud,,Female,No,No,20-24,Agriculture - self employed,Product not used,Seasonal,0,No,Never married,Always,No,No,No,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,58,Yes,No,DrinksTafia/Clairin,8730,No Beating,0
"Contremaitre, agent de maitrise",No,No,,Catholic,22,,No,Sud,,Female,No,No,20-24,Professional/technical/managerial,Product not used,All year,0,No,Never married,Always,Yes,Yes,Yes,Primary,Product not used,,Yes,Every day,HT7,,No,,No,58,Yes,No,Drinks rum,8731,wife argues with husband,1
Not working and didn't work in last 12 months,No,No,,Catholic,22,,No,Sud,No,Male,No,No,20-24,Not working,Product not used,,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,70,No,No,Drinks beer,8732,No Beating,0
Agriculteur,,No,2015.0,Catholic,29,26.0,No,Sud,,Male,No,No,25-29,Agriculture - self employed,Product not used,Seasonal,0,No,0-4,Always,No,No,No,No education,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,29,Yes,No,No Drinks,8733,No Beating,0
Agriculteur,,No,1997.0,Catholic,35,32.0,No,Sud,,Male,No,No,35-39,Agriculture - self employed,Product not used,Seasonal,1,No,15-19,Always,No,No,No,Primary,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,35,Yes,No,No Drinks,8734,No Beating,0
Ouvrier qualifiï¿½ de type industriel,,No,2006.0,No religion,27,30.0,No,Aire Metropolitaine,Yes,Male,No,No,25-29,Skilled manual,Product not used,Occasional,0,No,10-14,Always,No,No,No,Primary,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,27,Yes,No,No Drinks,8735,No Beating,0
Personnel des services directs au particulier,,No,2015.0,Protestant/Methodist/Adventist/Jehova Witness,32,25.0,No,Aire Metropolitaine,,Female,No,No,30-34,Household and domestic,Product not used,All year,0,No,0-4,3,Yes,No,No,Primary,Product not used,,Yes,Hardly ever,HT7,Staying elsewhere,No,,No,54,Yes,No,Drinks rum,8736,No Beating,0
Commercant et assimilï¿½,No,No,,Protestant/Methodist/Adventist/Jehova Witness,20,,No,Aire Metropolitaine,,Female,No,No,20-24,Sales,Product not used,All year,0,No,Never married,6,No,No,No,Primary,Product not used,,No,"No, never",HT7,,No,,Yes,54,Yes,No,No Drinks,8737,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,No,2008.0,Catholic,28,23.0,No,Aire Metropolitaine,,Male,No,No,25-29,Skilled manual,Product not used,Occasional,0,No,5-9,4,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,Living with him,No,,No,28,Yes,Yes,Drinks beer,8738,wife neglects the children,1
Ouvrier qualifiï¿½ de type artisanal,,No,1997.0,Catholic,49,44.0,No,Aire Metropolitaine,,Female,No,No,45-49,Skilled manual,Product not used,All year,0,No,15-19,17,No,No,No,Primary,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,44,Yes,No,No Drinks,8739,No Beating,0
Ouvrier qualifiï¿½ de type industriel,,No,2012.0,No religion,32,28.0,No,Aire Metropolitaine,,Male,No,No,30-34,Skilled manual,Product not used,Occasional,1,No,0-4,30,No,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,32,Yes,No,DrinksTafia/Clairin,8740,No Beating,0
Chaffeur,,No,2006.0,Protestant/Methodist/Adventist/Jehova Witness,33,27.0,Yes,Aire Metropolitaine,,Male,No,No,30-34,Sales,Product not used,All year,1,No,10-14,6,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,33,Yes,No,Drinks wine,8741,No Beating,0
